mA      ma      mchi    tb      st      process
200     150     10      1       0.35    gg
200     200     10      1       0.35    gg
300     150     10      1       0.35    gg
300     200     10      1       0.35    gg
300     250     10      1       0.35    gg
400     150     10      1       0.35    gg
400     200     10      1       0.35    gg
400     250     10      1       0.35    gg
400     300     10      1       0.35    gg
500     150     10      1       0.35    gg
500     200     10      1       0.35    gg
500     250     10      1       0.35    gg
500     300     10      1       0.35    gg
600     150     10      1       0.35    gg
600     200     10      1       0.35    gg
600     250     10      1       0.35    gg
600     300     10      1       0.35    gg
700     150     10      1       0.35    gg
700     200     10      1       0.35    gg
700     250     10      1       0.35    gg
700     300     10      1       0.35    gg
800     150     10      1       0.35    gg
800     250     10      1       0.35    gg
900     150     10      1       0.35    gg
900     200     10      1       0.35    gg
500     150     10      1       0.2     gg
500     150     10      1       0.3     gg
500     150     10      1       0.4     gg
500     150     10      0.5     0.35    gg
500     150     10      1       0.35    gg
500     150     10      2       0.35    gg
500     150     10      4       0.35    gg
500     150     10      8       0.35    gg
500     150     10      50      0.35    gg
600     200     10      1       0.1     gg
600     200     10      1       0.2     gg
600     200     10      1       0.3     gg
600     200     10      1       0.4     gg
600     200     10      1       0.5     gg
600     200     10      1       0.6     gg
600     200     10      1       0.7     gg
600     200     10      1       0.8     gg
600     200     10      1       0.9     gg
600     150     10      0.5     0.35    gg
600     150     10      1.5     0.35    gg
600     150     10      2       0.35    gg
600     150     10      4       0.35    gg
600     150     10      8       0.35    gg
600     150     10      20      0.35    gg
600     150     10      50      0.35    gg
200     150     10      1       0.35    bb
200     200     10      1       0.35    bb
300     150     10      1       0.35    bb
300     200     10      1       0.35    bb
300     250     10      1       0.35    bb
400     150     10      1       0.35    bb
400     200     10      1       0.35    bb
400     250     10      1       0.35    bb
400     300     10      1       0.35    bb
500     150     10      1       0.35    bb
500     200     10      1       0.35    bb
500     250     10      1       0.35    bb
500     300     10      1       0.35    bb
600     150     10      1       0.35    bb
600     200     10      1       0.35    bb
600     250     10      1       0.35    bb
600     300     10      1       0.35    bb
700     250     10      1       0.35    bb
700     300     10      1       0.35    bb
800     150     10      1       0.35    bb
800     250     10      1       0.35    bb
500     150     10      1       0.1     bb
500     150     10      1       0.2     bb
500     150     10      1       0.3     bb
500     150     10      1       0.4     bb
500     150     10      1       0.5     bb
500     150     10      1       0.6     bb
500     150     10      1       0.7     bb
500     150     10      1       0.8     bb
500     150     10      1       0.9     bb
500     150     10      1       0.35    bb
500     150     10      1.5     0.35    bb
500     150     10      2       0.35    bb
500     150     10      4       0.35    bb
600     200     10      1       0.1     bb
600     200     10      1       0.2     bb
600     200     10      1       0.3     bb
600     200     10      1       0.4     bb
600     200     10      1       0.5     bb
600     200     10      1       0.6     bb
600     200     10      1       0.7     bb
600     200     10      1       0.8     bb
600     200     10      1       0.9     bb
600     150     10      0.5     0.35    bb
600     150     10      1.5     0.35    bb
600     150     10      2       0.35    bb
600     150     10      4       0.35    bb
600     150     10      8       0.35    bb
600     150     10      20      0.35    bb
600     150     10      50      0.35    bb


