             1             1
             2             1
             3             1
             4             1
             5             1
             6             1
             7             1
             8             1
             9            -1
            10            -7
            11             1
            12           -11
            13            -8
            14             1
            15             1
            16             1
            17             1
18.14             1
18.17             1
18.22             1
18.23             1
18.25             1
18.26             1
            19           -15
            20           -16
            21             1
            22             1
23.04             1
23.05             1
23.07             1
23.08             1
24.04             1
24.05             1
24.07             1
24.08             1
25.14             1
25.17             1
25.22             1
25.23             1
25.25             1
25.26             1
            26             1
            27             1
            28           -23
            29            -6
            30             1
            31             1
            32            -5
            33           -30
            34            -4
            35            -3
            36            -2
