mA	ma	mchi	tb	st	process
200	100	10	1	0.35	gg
200	150	10	1	0.35	gg
300	100	10	1	0.35	gg
300	150	10	1	0.35	gg
400	100	10	1	0.35	gg
400	150	10	1	0.35	gg
400	200	10	1	0.35	gg
400	250	10	1	0.35	gg
500	150	10	1	0.35	gg
500	200	10	1	0.35	gg
500	250	10	1	0.35	gg
500	300	10	1	0.35	gg
600	200	10	1	0.35	gg
600	250	10	1	0.35	gg
600	300	10	1	0.35	gg
600	350	10	1	0.35	gg
700	250	10	1	0.35	gg
700	300	10	1	0.35	gg
700	350	10	1	0.34	gg
700	400	10	1	0.35	gg
800	250	10	1	0.35	gg
800	300	10	1	0.35	gg
800	350	10	1	0.35	gg
800	400	10	1	0.35	gg
800	500	10	1	0.35	gg
900	300	10	1	0.35	gg
900	350	10	1	0.35	gg
900	400	10	1	0.35	gg
900	500	10	1	0.35	gg
1000	150	10	1	0.35	gg
1000	250	10	1	0.35	gg
1000	350	10	1	0.35	gg
1000	500	10	1	0.35	gg
1000	250	10	1	0.35	gg
1100	250	10	1	0.35	gg
1100	350	10	1	0.35	gg
1100	500	10	1	0.35	gg
1200	150	10	1	0.35	gg
1200	250	10	1	0.35	gg
1200	350	10	1	0.35	gg
1200	500	10	1	0.35	gg
1300	150	10	1	0.35	gg
1300	250	10	1	0.35	gg
1300	350	10	1	0.35	gg
1300	500	10	1	0.35	gg
1400	150	10	1	0.35	gg
1400	250	10	1	0.35	gg
1400	350	10	1	0.35	gg
1400	450	10	1	0.35	gg
1500	150	10	1	0.35	gg
1500	250	10	1	0.35	gg
1500	400	10	1	0.35	gg
1600	150	10	1	0.35	gg
1600	250	10	1	0.35	gg
1600	350	10	1	0.35	gg
600	100	10	0.5	0.35	gg
600	150	10	0.5	0.35	gg
600	200	10	0.5	0.35	gg
600	250	10	0.5	0.35	gg
600	300	10	0.5	0.35	gg
600	350	10	0.5	0.35	gg
600	400	10	0.5	0.35	gg
600	500	10	0.5	0.35	gg
600	100	10	0.8	0.35	gg
600	150	10	0.8	0.35	gg
600	200	10	0.8	0.35	gg
600	250	10	0.8	0.35	gg
600	300	10	0.8	0.35	gg
600	350	10	0.8	0.35	gg
600	400	10	0.8	0.35	gg
600	500	10	0.8	0.35	gg
600	100	10	1	0.35	gg
600	150	10	1	0.35	gg
600	200	10	1	0.34	gg
600	250	10	1	0.35	gg
600	300	10	1	0.35	gg
600	350	10	1	0.35	gg
600	400	10	1	0.35	gg
600	500	10	1	0.35	gg
600	100	10	1.5	0.35	gg
600	150	10	1.5	0.35	gg
600	200	10	1.5	0.35	gg
600	250	10	1.5	0.35	gg
600	300	10	1.5	0.35	gg
600	350	10	1.5	0.35	gg
600	400	10	1.5	0.35	gg
600	500	10	1.5	0.35	gg
600	100	10	2	0.35	gg
600	150	10	2	0.35	gg
600	200	10	2	0.35	gg
600	250	10	2	0.35	gg
600	300	10	2	0.35	gg
600	350	10	2	0.35	gg
600	400	10	2	0.35	gg
600	500	10	2	0.35	gg
600	100	10	4	0.35	gg
600	150	10	4	0.35	gg
600	200	10	4	0.35	gg
600	250	10	4	0.35	gg
600	300	10	4	0.35	gg
600	350	10	4	0.35	gg
600	400	10	4	0.35	gg
600	500	10	4	0.35	gg
600	100	10	6	0.35	gg
600	150	10	6	0.35	gg
600	200	10	6	0.35	gg
600	250	10	6	0.35	gg
600	300	10	6	0.35	gg
600	350	10	6	0.35	gg
600	400	10	6	0.35	gg
600	500	10	6	0.35	gg
600	100	10	8	0.35	gg
600	150	10	8	0.35	gg
600	200	10	8	0.35	gg
600	250	10	8	0.35	gg
600	300	10	8	0.35	gg
600	350	10	8	0.35	gg
600	400	10	8	0.35	gg
600	500	10	8	0.35	gg
600	100	10	10	0.35	gg
600	150	10	10	0.35	gg
600	200	10	10	0.35	gg
600	250	10	10	0.35	gg
600	300	10	10	0.35	gg
600	350	10	10	0.35	gg
600	400	10	10	0.35	gg
600	500	10	10	0.35	gg
600	100	10	20	0.35	gg
600	150	10	20	0.35	gg
600	200	10	20	0.35	gg
600	250	10	20	0.35	gg
600	300	10	20	0.35	gg
600	350	10	20	0.35	gg
600	400	10	20	0.34	gg
600	500	10	20	0.35	gg
600	100	10	30	0.35	gg
600	150	10	30	0.35	gg
600	200	10	30	0.35	gg
600	250	10	30	0.35	gg
600	300	10	30	0.35	gg
600	350	10	30	0.35	gg
600	400	10	30	0.35	gg
600	500	10	30	0.35	gg
600	100	10	40	0.35	gg
600	150	10	40	0.35	gg
600	200	10	40	0.35	gg
600	250	10	40	0.35	gg
600	300	10	40	0.35	gg
600	350	10	40	0.35	gg
600	400	10	40	0.35	gg
600	500	10	40	0.35	gg
600	100	10	50	0.35	gg
600	150	10	50	0.35	gg
600	200	10	50	0.35	gg
600	250	10	50	0.35	gg
600	300	10	50	0.35	gg
600	350	10	50	0.35	gg
600	400	10	50	0.35	gg
600	500	10	50	0.35	gg
600	200	10	1	0.1	gg
1000	350	10	1	0.1	gg
600	200	10	1	0.2	gg
1000	350	10	1	0.2	gg
600	200	10	1	0.3	gg
1000	350	10	1	0.3	gg
600	200	10	1	0.4	gg
1000	350	10	1	0.4	gg
600	200	10	1	0.6	gg
1000	350	10	1	0.6	gg
600	200	10	1	0.7	gg
1000	350	10	1	0.7	gg
600	200	10	1	0.8	gg
1000	350	10	1	0.8	gg
600	200	10	1	0.9	gg
1000	350	10	1	0.9	gg
200	100	10	1	0.35	bb
200	150	10	1	0.35	bb
300	100	10	1	0.35	bb
300	150	10	1	0.35	bb
400	100	10	1	0.35	bb
400	150	10	1	0.35	bb
400	200	10	1	0.35	bb
400	250	10	1	0.35	bb
500	150	10	1	0.35	bb
500	200	10	1	0.35	bb
500	250	10	1	0.35	bb
500	300	10	1	0.35	bb
600	200	10	1	0.35	bb
600	250	10	1	0.35	bb
600	300	10	1	0.35	bb
600	350	10	1	0.35	bb
700	250	10	1	0.35	bb
700	300	10	1	0.35	bb
700	350	10	1	0.34	bb
700	400	10	1	0.35	bb
800	250	10	1	0.35	bb
800	300	10	1	0.35	bb
800	350	10	1	0.35	bb
800	400	10	1	0.35	bb
800	500	10	1	0.35	bb
900	300	10	1	0.35	bb
900	350	10	1	0.35	bb
900	400	10	1	0.35	bb
900	500	10	1	0.35	bb
1000	150	10	1	0.35	bb
1000	250	10	1	0.35	bb
1000	350	10	1	0.35	bb
1000	500	10	1	0.35	bb
1000	250	10	1	0.35	bb
1100	250	10	1	0.35	bb
1100	350	10	1	0.35	bb
1100	500	10	1	0.35	bb
1200	150	10	1	0.35	bb
1200	250	10	1	0.35	bb
1200	350	10	1	0.35	bb
1200	500	10	1	0.35	bb
1300	150	10	1	0.35	bb
1300	250	10	1	0.35	bb
1300	350	10	1	0.35	bb
1300	500	10	1	0.35	bb
1400	150	10	1	0.35	bb
1400	250	10	1	0.35	bb
1400	350	10	1	0.35	bb
1400	450	10	1	0.35	bb
1500	150	10	1	0.35	bb
1500	250	10	1	0.35	bb
1500	400	10	1	0.35	bb
1600	150	10	1	0.35	bb
1600	250	10	1	0.35	bb
1600	350	10	1	0.35	bb
600	100	10	0.5	0.35	bb
600	150	10	0.5	0.35	bb
600	200	10	0.5	0.35	bb
600	250	10	0.5	0.35	bb
600	300	10	0.5	0.35	bb
600	350	10	0.5	0.35	bb
600	400	10	0.5	0.35	bb
600	500	10	0.5	0.35	bb
600	100	10	0.8	0.35	bb
600	150	10	0.8	0.35	bb
