'7.0'           [file version number]  
1  '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))' 'N'
6  '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))' 'N'
1000 'nul' 'X'
11 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+f(p5)'  'N'
12 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+b~(p5)' 'N'
13 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+c~(p5)' 'N'
14 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))+c~(p5) [massless]' 'L'
16 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+f(p5)' 'N'
17 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+b(p5)' 'N'
18 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+c(p5)' 'N'
19 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))+c(p5) [massless]' 'L'
1000 'nul' 'X'
20 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +b(p5)+b~(p6) [massive]' 'N'
21 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +b(p5)+b~(p6)' 'N'
22 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +f(p5)+f(p6)' 'N'
23 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +f(p5)+f(p6)+f(p7)' 'L'
24 '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4)) +b(p5)+b~(p6)+f(p7)' 'L'
25 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +b(p5)+b~(p6) [massive]' 'N'
26 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +b(p5)+b~(p6)' 'N'
27 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +f(p5)+f(p6)' 'N'
28 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +f(p5)+f(p6)+f(p7)' 'L'
29 '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4)) +b(p5)+b~(p6)+f(p7)' 'L'
1000 'nul' 'X'
31 '  f(p1)+f(p2) --> Z^0(-->e^-(p3)+e^+(p4))' 'N'
32 '  f(p1)+f(p2) --> Z^0(-->3*(nu(p3)+nu~(p4)))' 'N'
33 '  f(p1)+f(p2) --> Z^0(-->b(p3)+b~(p4))' 'N'
34 '  f(p1)+f(p2) --> Z^0(-->3*(d(p5)+d~(p6)))' 'N'
35 '  f(p1)+f(p2) --> Z^0(-->2*(u(p5)+u~(p6)))' 'N'
